path	graph_type	size_bytes	sha256	source_hint
directed/ER-100k.txt	directed	11778425	232ba037822c769fcbfbdb3b3c3c10044d9b59052f3b5b50784ec00a02cb46da	synthetic_ER
directed/ER-10k.txt	directed	977814	b1ae3a1cb5044609878892847a1805900a86ae3f31e7979a11edefb6d66f5874	synthetic_ER
directed/amazon0601.txt	directed	47853243	ba7951621618e1d1e21540945182f6d8736675b7d960d949df8d5a09394517b1	https://snap.stanford.edu/data/amazon0601.txt.gz
directed/email-EuAll.txt	directed	5001561	98e9a8d6fdd6c86f6bcdf401d44d6011377fbe5bbf8eac256ba6f3bf0d53a26f	https://snap.stanford.edu/data/email-EuAll.txt.gz
directed/p2p-Gnutella04.txt	directed	431145	ecde0d25462dd1c3c9edf5b2e6a98d43057b11b562e83ff2986a02292b4cb73c	https://snap.stanford.edu/data/p2p-Gnutella04.txt.gz
directed/p2p-Gnutella08.txt	directed	215172	b58c2d2d80dc80be010058226a20273ce66999f78742a4db5cc2be249af33ab8	https://snap.stanford.edu/data/p2p-Gnutella08.txt.gz
directed/soc-Epinions1.txt	directed	5662911	900fcedd277345cb9499a972dae30a3231f1aacd07fedf186f62bd06136ae7a3	https://snap.stanford.edu/data/soc-Epinions1.txt.gz
directed/soc-Slashdot0811.txt	directed	10747200	ede3ece97b1b67bdc396362bdc3d20b94bfd56c1e41ba66929d18c3a4119643d	https://snap.stanford.edu/data/soc-Slashdot0811.txt.gz
directed/web-NotreDame.txt	directed	21555101	8eda64b3a9aeb7f20cd092c433794281d4250b51c7dad55702f91acc5f2ea08b	https://snap.stanford.edu/data/web-NotreDame.txt.gz
directed/wiki-Talk.txt	directed	66467902	d731a22b5aef0892000afc73c9ac9f149922e66ac90fd81bf18f060951ace208	https://snap.stanford.edu/data/wiki-Talk.txt.gz
directed/wiki-Vote.txt	directed	1094778	e86f5c7e645ee6a3c173a2efdf6069750e6db95d66fe588ab6197604024475e1	https://snap.stanford.edu/data/wiki-Vote.txt.gz
undirected/LastFM.txt	undirected	270433	143096673481202790a7ecdcee38d10f00047de5cb98abed212e8f435c1172b3	project_processed_dataset
undirected/ca-CondMat.txt	undirected	2419682	be63b1313f232b8dd29fd36d5f87ddccb2b9c03a2478b8e338304af8f392fe52	https://snap.stanford.edu/data/ca-CondMat.txt.gz
undirected/ca-GrQc.txt	undirected	351454	a155180e45b8638d9627c1eee79d6ca2dcb5504d3b290f476a2677c5a6946844	https://snap.stanford.edu/data/ca-GrQc.txt.gz
undirected/ca-HepPh.txt	undirected	3020062	ec3c51be073bfd75ad086936b7977076ccfe383830267508c999e47d52b23133	https://snap.stanford.edu/data/ca-HepPh.txt.gz
undirected/ca-HepTh.txt	undirected	658567	34c5222a40815dff18c0613d795fa71c79e842a03c21a79bc7a759d54c9cf1b2	https://snap.stanford.edu/data/ca-HepTh.txt.gz
undirected/com-youtube.ungraph.txt	undirected	38720700	e4826febdde95f77d27ce4505432deb5f4a69245be009e9729645ef95503b74c	https://snap.stanford.edu/data/com-youtube.ungraph.txt.gz
undirected/email-Enron.txt	undirected	4049116	d3f747d78cc51a910f6b9b2a04acee667577ae8dab4ba42eb6082612ce22bfd5	https://snap.stanford.edu/data/email-Enron.txt.gz
undirected/pgp.txt	undirected	233984	b580afb1c6342335959632cf0db07cef75475b34fd46f0812f52cd8d96561003	project_processed_dataset
